Date,Description,Amount,Type
2022-06-11,Clothing Store,5904,debit
2023-12-29,Electricity Bill,1549,debit
2022-04-27,Phone Recharge,6295,debit
2022-03-17,Coworking Space Rent,2661,debit
2024-02-04,Coworking Space Rent,5502,debit
2023-08-19,Bookstore,4356,debit
2023-05-11,Freelance Payment,48051,credit
2023-05-21,Tuition Fee,788,debit
2024-01-27,YouTube Premium,3577,debit
2023-08-17,Phone Recharge,3672,debit
2023-02-09,Clothing Store,2863,debit
2023-08-01,Bookstore,2398,debit
2022-10-31,Water Bill,1413,debit
2023-10-05,Credit Card Bill,1406,debit
2023-10-15,Phone Recharge,9285,debit
2023-05-24,Investment Return,48966,credit
2023-02-27,Medical Consultation,6705,debit
2024-02-16,IRCTC Train Booking,5169,debit
2022-03-13,Cinema Ticket,8178,debit
2023-09-12,Medical Pharmacy,9451,debit
2022-09-13,Netflix Subscription,3066,debit
2022-08-05,Freelance Payment,35409,credit
2023-08-14,Home Cleaning Services,2786,debit
2023-12-15,Coworking Space Rent,2764,debit
2022-05-13,Clothing Store,4556,debit
2022-12-23,Pet Vaccination,6693,debit
2023-02-07,Home Cleaning Services,5969,debit
2023-10-31,Loan EMI,3169,debit
2022-01-06,Credit Card Bill,4503,debit
2022-04-19,Electricity Bill,2782,debit
2024-01-12,Cinema Ticket,9087,debit
2023-04-06,Freelance Payment,67575,credit
2022-08-27,Loan EMI,9074,debit
2023-03-20,Flipkart Sale,9507,debit
2023-08-29,Hospital Bill,2180,debit
2022-12-09,Mutual Fund SIP,4368,debit
2023-02-12,Phone Recharge,1437,debit
2023-03-12,Rent Payment,4013,debit
2022-11-08,Electricity Bill,738,debit
2022-09-17,Doctor Visit,2700,debit
2022-06-11,Hospital Bill,119,debit
2022-04-07,Tuition Fee,8894,debit
2023-04-26,Online Course,5467,debit
2023-11-15,Loan EMI,7916,debit
2023-12-01,Spotify Subscription,243,debit
2023-07-08,Uber Ride,6539,debit
2023-03-19,Uber Ride,2776,debit
2022-01-13,IRCTC Train Booking,5946,debit
2022-10-30,ATM Withdrawal,1237,debit
2023-09-28,Exam Fee,4772,debit
2023-11-19,Pet Vaccination,4920,debit
2023-01-07,Medical Pharmacy,5289,debit
2022-04-29,YouTube Premium,8485,debit
2023-03-30,Bonus,27855,credit
2022-10-24,Rent Payment,3942,debit
2023-09-08,Rent Payment,9593,debit
2024-02-03,Starbucks Coffee,6452,debit
2022-08-21,Internet Bill,9175,debit
2023-03-14,Clothing Store,9849,debit
2022-07-30,Bonus,11473,credit
2024-03-20,Online Course,5715,debit
2023-11-26,Flipkart Sale,2441,debit
2022-01-15,Pet Grooming,6666,debit
2023-11-17,Bookstore,6585,debit
2023-06-16,Bus Pass Recharge,2318,debit
2022-11-15,Fuel Station,1666,debit
2023-09-23,Starbucks Coffee,5770,debit
2023-11-18,Salary,42980,credit
2023-07-24,Amazon Prime,5633,debit
2023-01-26,Bonus,11523,credit
2023-12-09,Cinema Ticket,9595,debit
2022-05-02,Insurance Premium,6579,debit
2023-05-08,Swiggy Food,8163,debit
2023-07-27,Amusement Park,5720,debit
2023-08-30,Investment Return,53432,credit
2023-02-15,Cinema Ticket,3785,debit
2023-08-23,Investment Return,50511,credit
2022-08-16,Swiggy Food,4394,debit
2022-06-21,Loan EMI,125,debit
2022-03-07,Investment Return,65752,credit
2022-02-19,Mutual Fund SIP,8267,debit
2023-08-10,Home Cleaning Services,9942,debit
2022-05-16,Medical Consultation,9936,debit
2022-10-11,Rent Payment,7387,debit
2023-02-01,Bus Pass Recharge,1013,debit
2022-05-16,Flipkart Sale,187,debit
2023-07-11,Rent Payment,7780,debit
2022-07-06,Cinema Ticket,2950,debit
2023-03-03,Loan EMI,5944,debit
2023-01-21,Fuel Station,6829,debit
2023-12-08,YouTube Premium,6999,debit
2023-12-14,Salary,11338,credit
2023-12-13,Exam Fee,9349,debit
2022-09-25,Concert Ticket,2293,debit
2023-04-21,Mutual Fund SIP,428,debit
2023-01-12,Amusement Park,9801,debit
2023-03-07,Tuition Fee,3242,debit
2023-10-15,Domino's Pizza,5837,debit
2022-05-16,Coworking Space Rent,5393,debit
2023-01-30,Coworking Space Rent,8343,debit
2022-05-12,Gift Purchase,3141,debit
2023-08-28,Uber Ride,8020,debit
2023-09-07,Salary,69503,credit
2022-09-08,Water Bill,2011,debit
2022-10-18,Zomato Order,6542,debit
2023-11-17,Cinema Ticket,3364,debit
2024-02-10,Phone Recharge,5644,debit
2023-08-11,Bonus,31206,credit
2022-11-07,Flipkart Sale,9666,debit
2023-12-07,Concert Ticket,1479,debit
2023-03-15,Pet Vaccination,7822,debit
2023-10-05,Tuition Fee,4769,debit
2022-06-08,Medical Consultation,8519,debit
2024-03-15,Bonus,22590,credit
2023-05-03,Cafe Coffee Day,7690,debit
2023-08-02,Bookstore,8514,debit
2023-05-28,Mobile Accessories,4061,debit
2022-09-07,Freelance Payment,57633,credit
2023-03-16,Amusement Park,1959,debit
2022-07-15,Spotify Subscription,7503,debit
2023-10-08,Exam Fee,1666,debit
2023-07-29,Clothing Store,9943,debit
2023-08-25,Domino's Pizza,598,debit
2022-01-25,Water Bill,4995,debit
2023-04-23,Mobile Accessories,7230,debit
2023-03-29,Uber Ride,2999,debit
2023-06-11,Online Course,5178,debit
2022-03-31,Fuel Station,5430,debit
2023-11-11,Investment Return,50865,credit
2023-11-03,Cinema Ticket,6226,debit
2023-08-16,Online Course,1213,debit
2022-05-13,Exam Fee,8091,debit
2023-12-12,Water Bill,2113,debit
2023-09-24,Restaurant Bill,9414,debit
2022-05-04,Bus Pass Recharge,6820,debit
2024-01-23,Exam Fee,8912,debit
2022-05-25,Tuition Fee,534,debit
2024-02-28,Ola Cabs,8216,debit
2022-11-03,Online Course,5394,debit
2022-02-20,Pet Vaccination,5845,debit
2023-08-17,Concert Ticket,6770,debit
2024-02-09,Fuel Station,2285,debit
2022-11-08,Home Cleaning Services,3775,debit
2022-03-11,Salary,21147,credit
2024-02-11,Pet Vaccination,6540,debit
2024-02-02,Amazon Prime,1409,debit
2022-10-01,Uber Ride,1184,debit
2022-05-10,Rent Payment,2769,debit
2023-01-23,Hospital Bill,158,debit
2023-12-25,Amazon Prime,2535,debit
2023-09-22,Netflix Subscription,378,debit
2023-07-09,Internet Bill,1745,debit
2022-01-11,Coworking Space Rent,1498,debit
2022-05-25,Internet Bill,1517,debit
2022-11-29,Clothing Store,4150,debit
2024-02-02,Doctor Visit,3263,debit
2022-03-06,Exam Fee,2782,debit
2022-01-13,Mobile Accessories,2799,debit
2022-03-10,Hospital Bill,3878,debit
2022-01-16,Online Course,1685,debit
2022-09-20,Concert Ticket,3220,debit
2024-01-06,Gift Purchase,2616,debit
2022-07-09,Home Cleaning Services,2539,debit
2023-10-05,Doctor Visit,420,debit
2023-05-20,Phone Recharge,1617,debit
2023-04-25,Mutual Fund SIP,8133,debit
2024-01-17,Mobile Accessories,5413,debit
2022-09-27,Bus Pass Recharge,3529,debit
2022-12-22,Amusement Park,1380,debit
2023-11-06,ATM Withdrawal,9120,debit
2022-05-20,Medical Pharmacy,5198,debit
2022-09-06,Salary,8313,credit
2023-06-03,Electricity Bill,8768,debit
2022-07-04,Coworking Space Rent,5778,debit
2023-03-25,IRCTC Train Booking,4125,debit
2022-02-28,Internet Bill,2787,debit
2023-06-07,Electricity Bill,5174,debit
2022-08-05,YouTube Premium,9742,debit
2022-12-03,Amazon Prime,1628,debit
2024-03-25,Swiggy Food,981,debit
2023-05-02,Mutual Fund SIP,6247,debit
2022-01-03,Bonus,63445,credit
2022-04-14,Netflix Subscription,8429,debit
2023-12-20,Gift Purchase,312,debit
2023-08-30,Uber Ride,6093,debit
2022-09-23,Hospital Bill,4449,debit
2023-02-16,Concert Ticket,7076,debit
2023-06-12,Cinema Ticket,9209,debit
2023-12-18,Bookstore,2271,debit
2023-12-25,Amazon Prime,8893,debit
2022-02-27,Salary,28712,credit
2022-10-21,YouTube Premium,4403,debit
2023-05-25,Bonus,64113,credit
2023-09-30,Insurance Premium,9702,debit
2022-11-21,ATM Withdrawal,7702,debit
2022-03-07,Insurance Premium,3528,debit
2023-09-14,Home Cleaning Services,7035,debit
2022-12-08,Bonus,65587,credit
2023-05-22,Medical Pharmacy,7501,debit
2023-07-17,Zomato Order,1493,debit
2022-05-10,Internet Bill,4246,debit
2022-01-05,Freelance Payment,40487,credit
2024-03-24,Uber Ride,858,debit
2023-10-18,Doctor Visit,9236,debit
2023-03-17,Bonus,28833,credit
2024-03-01,Flipkart Sale,8299,debit
2022-12-03,Amusement Park,3720,debit
2024-03-17,Exam Fee,5855,debit
2023-04-18,Salary,9506,credit
2023-03-10,Insurance Premium,6078,debit
2022-05-13,Netflix Subscription,4772,debit
2024-02-02,Credit Card Bill,9060,debit
2023-09-08,Medical Consultation,2531,debit
2022-03-09,Fuel Station,7864,debit
2022-01-09,Swiggy Food,9405,debit
2022-05-09,Fuel Station,1295,debit
2024-03-05,Amazon Prime,1519,debit
2022-05-09,Investment Return,40904,credit
2022-12-22,Bonus,61207,credit
2023-09-13,Starbucks Coffee,3523,debit
2022-02-20,Online Course,5424,debit
2023-06-20,Salary,14559,credit
2022-06-02,Amazon Shopping,2763,debit
2022-09-15,Amazon Prime,9123,debit
2022-10-06,Swiggy Food,9183,debit
2023-11-21,Restaurant Bill,9523,debit
2022-09-24,Domino's Pizza,8464,debit
2023-10-31,Coworking Space Rent,4152,debit
2022-07-28,Electricity Bill,8585,debit
2022-11-09,Spotify Subscription,8088,debit
2023-07-28,Coworking Space Rent,713,debit
2024-01-04,Concert Ticket,3886,debit
2024-01-29,Swiggy Food,8250,debit
2023-12-08,Spotify Subscription,4531,debit
2024-01-27,Electricity Bill,1837,debit
2022-08-06,Coworking Space Rent,1177,debit
2022-02-05,Cinema Ticket,5510,debit
2023-05-19,Exam Fee,5030,debit
2023-06-11,Home Cleaning Services,4735,debit
2022-11-13,Credit Card Bill,6385,debit
2022-12-09,Bus Pass Recharge,9396,debit
2023-12-25,Salary,50623,credit
2022-11-18,Tuition Fee,6869,debit
2022-07-23,Medical Pharmacy,3611,debit
2023-06-10,Mutual Fund SIP,9574,debit
2022-03-09,Medical Consultation,1342,debit
2023-09-12,Coworking Space Rent,6877,debit
2024-01-19,Restaurant Bill,7189,debit
2024-02-07,Ola Cabs,6006,debit
2022-11-26,Pet Grooming,753,debit
2023-10-06,Pet Vaccination,1416,debit
2022-07-05,Mutual Fund SIP,9130,debit
2023-06-24,Cinema Ticket,8926,debit
2023-06-14,Flipkart Sale,5712,debit
2023-10-13,Amazon Prime,4186,debit
2022-08-02,Concert Ticket,6655,debit
2022-12-23,Amazon Prime,7359,debit
2022-09-30,Online Course,1775,debit
2024-02-20,Amusement Park,2815,debit
2023-01-05,YouTube Premium,4211,debit
2024-03-26,Bookstore,7600,debit
2022-08-24,Mutual Fund SIP,3599,debit
2024-01-01,Mutual Fund SIP,2679,debit
2024-03-21,Hospital Bill,289,debit
2022-01-26,YouTube Premium,1418,debit
2023-07-06,Bookstore,8999,debit
2023-01-29,Water Bill,4051,debit
2023-09-15,Tuition Fee,1908,debit
2022-08-07,Concert Ticket,2529,debit
2023-12-13,Rent Payment,6940,debit
2022-06-12,ATM Withdrawal,5646,debit
2023-11-06,Exam Fee,2830,debit
2022-02-23,ATM Withdrawal,9730,debit
2022-07-07,Coworking Space Rent,9101,debit
2022-05-02,Flipkart Sale,501,debit
2023-12-01,Phone Recharge,2167,debit
2022-04-23,Coworking Space Rent,9815,debit
2024-01-27,Credit Card Bill,840,debit
2022-03-18,Coworking Space Rent,852,debit
2023-02-17,Rent Payment,6295,debit
2024-02-01,Starbucks Coffee,9839,debit
2022-07-06,Coworking Space Rent,4403,debit
2022-10-24,Freelance Payment,14598,credit
2024-02-08,Domino's Pizza,9050,debit
2023-05-09,Mutual Fund SIP,5226,debit
2022-10-14,Online Course,4499,debit
2024-01-15,Pet Grooming,1607,debit
2023-02-28,Coworking Space Rent,217,debit
2024-03-01,Hospital Bill,3991,debit
2022-10-08,Exam Fee,6151,debit
2023-07-28,YouTube Premium,8530,debit
2022-04-27,Credit Card Bill,1591,debit
2022-10-25,Loan EMI,1735,debit
2022-06-12,IRCTC Train Booking,2427,debit
2023-07-17,Amusement Park,6639,debit
2023-01-15,Electricity Bill,3099,debit
2022-12-08,Insurance Premium,4155,debit
2023-09-16,Netflix Subscription,8427,debit
2022-01-13,Bus Pass Recharge,9411,debit
2022-04-07,Freelance Payment,31720,credit
2022-09-18,Amazon Shopping,1695,debit
2024-02-05,Tuition Fee,4380,debit
2023-03-28,Concert Ticket,2837,debit
2024-02-09,Tuition Fee,9954,debit
2023-03-18,Insurance Premium,501,debit
2022-03-11,Bookstore,9460,debit
2023-08-03,YouTube Premium,9869,debit
2024-02-02,Hospital Bill,8182,debit
2024-03-24,Phone Recharge,8858,debit
2022-05-20,Internet Bill,8650,debit
2023-12-31,Rent Payment,6321,debit
2023-08-07,Fuel Station,3913,debit
2023-09-28,Bonus,66510,credit
2023-11-30,Water Bill,3910,debit
2023-11-23,Online Course,7620,debit
2022-05-08,Amusement Park,3840,debit
2023-03-20,Clothing Store,2799,debit
2022-01-18,Bus Pass Recharge,4810,debit
2023-12-17,Credit Card Bill,7519,debit
2023-01-08,Tuition Fee,4050,debit
2022-03-20,Medical Consultation,8601,debit
2024-01-01,Restaurant Bill,5393,debit
2023-05-30,Phone Recharge,717,debit
2023-06-27,IRCTC Train Booking,6345,debit
2022-03-07,Restaurant Bill,1685,debit
2022-03-14,Coworking Space Rent,1785,debit
2023-04-23,Swiggy Food,3342,debit
2024-01-02,Phone Recharge,2747,debit
2023-04-08,Phone Recharge,7425,debit
2024-01-13,Rent Payment,7957,debit
2022-12-27,Pet Vaccination,850,debit
2023-03-01,Uber Ride,8746,debit
2022-01-10,Bookstore,853,debit
2023-01-18,Bookstore,113,debit
2022-04-18,Bonus,26808,credit
2022-10-04,Netflix Subscription,4552,debit
2022-06-20,Medical Consultation,1982,debit
2023-10-09,Tuition Fee,3365,debit
2024-02-29,Pet Grooming,1027,debit
2023-07-27,Rent Payment,2324,debit
2023-10-25,Concert Ticket,2999,debit
2022-02-17,Electricity Bill,872,debit
2022-12-30,Ola Cabs,4045,debit
2024-01-21,Mobile Accessories,1631,debit
2022-06-16,Gift Purchase,7585,debit
2023-04-02,Spotify Subscription,123,debit
2022-04-12,Medical Consultation,6725,debit
2022-02-11,Concert Ticket,7327,debit
2023-02-28,Ola Cabs,3971,debit
2022-11-16,IRCTC Train Booking,9596,debit
2023-10-31,Phone Recharge,7868,debit
2022-03-30,Uber Ride,3923,debit
2023-04-27,Water Bill,4789,debit
2022-07-21,Flipkart Sale,7730,debit
2023-04-01,Water Bill,3470,debit
2024-03-22,Concert Ticket,6667,debit
2023-03-06,Rent Payment,5239,debit
2022-05-24,ATM Withdrawal,1276,debit
2022-12-07,Coworking Space Rent,8318,debit
2024-02-17,Amazon Shopping,9502,debit
2024-01-27,Hospital Bill,2303,debit
2023-04-10,Exam Fee,7468,debit
2022-07-28,Credit Card Bill,686,debit
2023-12-29,Coworking Space Rent,918,debit
2023-11-16,Investment Return,52587,credit
2023-06-02,Freelance Payment,6783,credit
2023-03-11,Mutual Fund SIP,5680,debit
2022-08-21,ATM Withdrawal,3616,debit
2022-04-01,Doctor Visit,6380,debit
2023-03-26,Medical Consultation,5701,debit
2022-08-21,Amazon Prime,6464,debit
2022-08-27,Concert Ticket,4588,debit
2024-01-06,Coworking Space Rent,3547,debit
2022-03-02,Bookstore,6067,debit
2023-06-19,Loan EMI,1664,debit
2022-11-10,Medical Consultation,5354,debit
2024-03-07,Online Course,2359,debit
2023-05-06,Cinema Ticket,9188,debit
2022-11-12,Medical Consultation,4359,debit
2022-04-20,Internet Bill,3494,debit
2022-05-03,Cinema Ticket,2325,debit
2023-12-30,ATM Withdrawal,2606,debit
2023-01-31,Ola Cabs,7416,debit
2022-05-19,Starbucks Coffee,9116,debit
2022-03-02,Exam Fee,9691,debit
2024-03-23,Amazon Shopping,9181,debit
2023-09-14,Uber Ride,9230,debit
2022-12-28,Hospital Bill,568,debit
2022-06-27,Concert Ticket,4895,debit
2022-12-03,ATM Withdrawal,5236,debit
2023-07-02,Amazon Shopping,1312,debit
2023-07-17,Gift Purchase,4278,debit
2022-05-09,Uber Ride,7532,debit
2022-12-18,Bonus,59706,credit
2023-10-16,Coworking Space Rent,4462,debit
2023-05-14,Mutual Fund SIP,9083,debit
2023-09-30,Starbucks Coffee,8686,debit
2022-05-15,Rent Payment,600,debit
2022-01-25,Online Course,7356,debit
2023-06-03,Starbucks Coffee,9614,debit
2023-10-09,Coworking Space Rent,6741,debit
2022-05-19,Phone Recharge,7482,debit
2022-02-18,Credit Card Bill,8615,debit
2023-07-26,Bus Pass Recharge,4631,debit
2023-03-17,Tuition Fee,1422,debit
2022-11-24,Concert Ticket,1365,debit
2023-07-27,Restaurant Bill,7010,debit
2022-07-19,Concert Ticket,6460,debit
2024-02-12,YouTube Premium,3001,debit
2023-05-09,Restaurant Bill,8763,debit
2023-01-07,Fuel Station,2725,debit
2024-01-11,Mobile Accessories,5035,debit
2023-10-05,Gift Purchase,1238,debit
2022-03-21,Mutual Fund SIP,8745,debit
2022-09-08,Bookstore,3427,debit
2022-11-07,Online Course,3987,debit
2023-11-22,Domino's Pizza,2933,debit
2023-10-26,Exam Fee,3399,debit
2022-08-26,Starbucks Coffee,6064,debit
2022-09-24,Amazon Prime,286,debit
2024-03-24,Doctor Visit,2625,debit
2022-02-11,Hospital Bill,2022,debit
2024-02-05,Zomato Order,4530,debit
2023-07-15,Clothing Store,4388,debit
2022-06-11,Swiggy Food,4880,debit
2023-12-07,Online Course,415,debit
2024-02-20,Bookstore,7604,debit
2022-03-11,Medical Pharmacy,2381,debit
2022-02-16,Amusement Park,1643,debit
2023-12-09,Home Cleaning Services,3264,debit
2023-11-12,Bookstore,6247,debit
2024-02-11,Salary,23889,credit
2022-11-07,Amusement Park,7481,debit
2022-01-06,Amazon Shopping,9302,debit
2024-02-03,Home Cleaning Services,2587,debit
2022-10-12,Exam Fee,3830,debit
2022-04-30,Netflix Subscription,2578,debit
2024-03-24,Loan EMI,6000,debit
2023-03-04,Salary,38800,credit
2022-11-12,Tuition Fee,8313,debit
2022-01-10,Amazon Shopping,3013,debit
2023-09-28,Amazon Shopping,9416,debit
2023-12-19,Tuition Fee,684,debit
2022-01-12,Amusement Park,4870,debit
2023-12-11,Credit Card Bill,8973,debit
2022-01-22,Home Cleaning Services,7281,debit
2022-06-22,Freelance Payment,55277,credit
2022-01-29,Home Cleaning Services,7854,debit
2022-12-18,Fuel Station,1124,debit
2023-05-07,Home Cleaning Services,5618,debit
2022-04-09,Mutual Fund SIP,8051,debit
2023-10-19,Freelance Payment,36871,credit
2023-10-03,Restaurant Bill,4757,debit
2022-04-23,Credit Card Bill,9621,debit
2022-03-02,Online Course,2557,debit
2022-12-21,Credit Card Bill,9657,debit
2023-03-03,Amazon Prime,4849,debit
2023-10-25,Bookstore,2732,debit
2022-04-01,Freelance Payment,53609,credit
2023-06-21,Rent Payment,6159,debit
2022-10-03,Home Cleaning Services,1184,debit
2023-07-10,Pet Vaccination,4536,debit
2023-08-13,ATM Withdrawal,6514,debit
2022-01-12,Netflix Subscription,4749,debit
2022-07-11,Freelance Payment,13020,credit
2022-04-18,Cinema Ticket,5552,debit
2023-03-24,Flipkart Sale,276,debit
2023-06-11,Bonus,50327,credit
2023-05-05,Online Course,5610,debit
2024-02-05,Hospital Bill,9544,debit
2022-07-09,Netflix Subscription,7783,debit
2022-12-11,Water Bill,2853,debit
2022-04-21,Amazon Prime,3610,debit
2023-06-15,Medical Consultation,4655,debit
2023-09-15,Medical Pharmacy,288,debit
2023-07-21,Water Bill,3615,debit
2022-09-24,Bus Pass Recharge,471,debit
2023-07-02,Zomato Order,2014,debit
2023-10-18,Water Bill,9862,debit
2022-04-09,Doctor Visit,4984,debit
2022-01-22,Loan EMI,5469,debit
2022-12-01,Electricity Bill,8187,debit
2024-03-08,Salary,45450,credit
2023-06-08,Amusement Park,9395,debit
2022-12-12,Tuition Fee,5713,debit
2022-02-19,Hospital Bill,2320,debit
2023-10-21,Salary,42184,credit
2023-01-20,Flipkart Sale,6287,debit
2024-01-31,Ola Cabs,5776,debit
2022-07-31,Bonus,62274,credit
2022-01-29,Bonus,61568,credit
2022-11-02,Cinema Ticket,4098,debit
2022-10-22,Home Cleaning Services,2199,debit
2023-10-04,Rent Payment,8253,debit
2023-12-03,Mutual Fund SIP,5127,debit
2022-12-13,Hospital Bill,6218,debit
2023-01-16,IRCTC Train Booking,4746,debit
2024-01-26,Uber Ride,4625,debit
2023-08-16,Uber Ride,2816,debit
2023-05-10,Insurance Premium,3525,debit
2022-08-15,Pet Grooming,5092,debit
2024-01-31,Internet Bill,1603,debit
2023-05-01,Cinema Ticket,2283,debit
